name
Abdel
Solo
Santo
Joseph Momo
Ordinary Guy
Héloïse Rauth
Sarah
Rywka Wajsbrot
Vinz's Grandmother
Olga Abrego
Vinz's Aunt
Laurent Labasse
Cook
Choukri Gabteni
Saïd's Brother
Nabil Ben Mhamed
Boy Blague
Benoît Magimel
Benoît
Médard Niang
Médard
Arash Mansour
Arash
Mark Ruffalo
Mike Rezendes
Michael Keaton
Walter 'Robby' Robinson
Rachel McAdams
Sacha Pfeiffer
Liev Schreiber
Marty Baron
John Slattery
Ben Bradlee Jr.
Brian d'Arcy James
Matt Carroll
Stanley Tucci
Mitchell Garabedian
Elena Wohl
Barbara
Gene Amoroso
Steve Kurkjian
Doug Murray
Peter Canellos
Sharon McFarlane
Helen Donovan
Jamey Sheridan
Jim Sullivan
Neal Huff
Phil Saviano
Billy Crudup
Eric Macleish
Robert B. Kennedy
Court Clerk Mark
Emile Hirsch
Chris McCandless
Marcia Gay Harden
Billie McCandless
William Hurt
Walt McCandless
Jena Malone
Carine McCandless
Additional Narrator
Brian H. Dierker
Rainey
Catherine Keener
Jan Burres
Vince Vaughn
Wayne Westerberg
Kristen Stewart
Tracy Tatro
Hal Holbrook
Ron Franz
Jim Gallien
Jim Gallien
James O'Neill
Graduation Reader
Malinda McCollum
Waitress
Paul Knauls
Building Manager
Zach Galifianakis
Kevin
Craig Mutsch
Wayne's Crew #1
Yves Montand
Mario Livi
Charles Vanel
M. Jo
Folco Lulli
Luigi
Peter van Eyck
Bimba
Véra Clouzot
Linda
William Tubbs
Bill O'Brien
Darío Moreno
Pepito Hernandez
Jo Dest
Hans Smerloff
Antonio Centa
Camp Chief
Luis De Lima
Bernardo
Grégoire Gromoff
Joseph Palau-Fabre
Faustini
Seguna
Darling Légitimus
Chris Hemsworth
James Hunt
Daniel Brühl
Niki Lauda
Olivia Wilde
Suzy Miller
Alexandra Maria Lara
Marlene Lauda
Pierfrancesco Favino
Clay Regazzoni
David Calder
Louis Stanley
Natalie Dormer
Nurse Gemma
Stephen Mangan
Alastair Caldwell
Christian McKay
Lord Hesketh
Alistair Petrie
Stirling Moss
Julian Rhind-Tutt
Anthony 'Bubbles' Horsley
Colin Stinton
Teddy Mayer
Jamie de Courcey
Harvey 'Doc' Postlethwaite
Augusto Dallara
Enzo Ferrari
Ilario Calvo
Luca Di Montezemolo
Keith David
King
Forest Whitaker
Big Harold
Francesco Quinn
Rhah
Kevin Dillon
Bunny
John C. McGinley
Sgt. O'Neill
Reggie Johnson
Junior
Mark Moses
Lt. Wolfe
Corey Glover
Francis
Johnny Depp
Lerner
Chris Pedersen
Crawford
Bob Orwig
Gardner
Corkey Ford
Manny
David Neidorf
Tex
Tom Berenger
Sgt. Barnes
Willem Dafoe
Sgt. Elias
Kim Tae-ri
Sook-Hee
Yong-nyeo Lee
Bok-soon
Min-chae Yoo
Ggeut-dan
Dong-hwi Lee
Goo-gai
Kim Hae-sook
Miss Sasaki
Kim Min-hee
Lady Hideko
Jung-woo Ha
Count Fujiwara
Kyu-jung Lee
Maid 1
Si-eun Kim
Maid 2
Si-yeon Ha
Maid 3
Rina Takagi
Hideko's Mother
Cho Jin-woong
Uncle Kouzuki
Geun-hee Won
Butler
Jong-Dae Kim
Mansion Driver
Han-sun Jang
Kouzuki Porter
Faye Dunaway
Diana Christensen
William Holden
Max Schumacher
Peter Finch
Howard Beale
Robert Duvall
Frank Hackett
Wesley Addy
Nelson Chaney
Ned Beatty
Arthur Jensen
Arthur Burghardt
Great Ahmed Kahn
Bill Burrows
TV Director
John Carpenter
George Bosch
Jordan Charney
Harry Hunter
Kathy Cronkite
Mary Ann Gifford
Ed Crowley
Joe Donnelly
Jerome Dempsey
Walter C. Amundsen
Conchata Ferrell
Barbara Schlesinger
Gene Gross
Milton K. Steinman
Richard Gere
Parker Wilson
Joan Allen
Cate Wilson
Cary-Hiroyuki Tagawa
Ken
Sarah Roemer
Andy
Jason Alexander
Carl
Erick Avari
Jasjeet
Davenia McFadden
Mary Anne
Robbie Sublett
Michael
Kevin DeCoste
Ronnie (11 Years)
Rob Degnan
Teddy Barnes
Tora Hallström
Heather
Donna Sorbello
Myra
Frank S. Aronson
Milton - The Butcher
Troy Doherty
Sal
Ian Sherman
Student Pianist
Paul Newman
Luke
George Kennedy
Dragline
J.D. Cannon
Society Red
Lou Antonio
Koko
Robert Drivas
Loudmouth Steve
Strother Martin
Captain
Jo Van Fleet
Arletta
Clifton James
Carr
Morgan Woodward
Boss Godfrey
Luke Askew
Boss Paul
Marc Cavell
Rabbitt
Richard Davalos
Blind Dick
Robert Donner
Boss Shorty
Warren Finnerty
Tattoo
Dennis Hopper
Babalugats
Rajesh Khanna
Anand Saigal
Amitabh Bachchan
Dr. Bhaskar K. Bannerjee
Babu Moshai
Sumita Sanyal
Renu
Ramesh Deo
Dr. Prakash Kulkarni
Seema Deo
Suman Kulkarni
Asit Kumar Sen
Chandranath
Muralilal #1
Atam Prakash
Ranjeet
Lalita Kumari
Mrs. Sanyal
Dev Kishan
Savita
Brahm Bhardwaj
Moni Baba
Lalita Pawar
Matron D'Sa
Durga Khote
Renu's Mother
Gurnam Singh
Dara Singh
Head Wrestler
Charlton Heston
Judah Ben-Hur
Jack Hawkins
Quintus Arrius
Haya Harareet
Esther
Stephen Boyd
Messala
Hugh Griffith
Sheik Ilderim
Martha Scott
Miriam
Cathy O'Donnell
Tirzah
Sam Jaffe
Simonides
Finlay Currie
Balthasar
Narrator
Frank Thring
Pontius Pilate
Terence Longdon
Drusus
George Relph
Tiberius Caesar
André Morell
Sextus
Hugh Jackman
Logan
X-24
Patrick Stewart
Charles
Dafne Keen
Laura
Boyd Holbrook
Pierce
Stephen Merchant
Caliban
Elizabeth Rodriguez
Gabriela
Richard E. Grant
Dr. Rice
Eriq La Salle
Will Munson
Elise Neal
Kathryn Munson
Quincy Fouse
Nate Munson
Al Coronel
Federale Commander
Frank Gallegos
Federale Lieutenant
Anthony Escobar
Federale
Reynaldo Gallegos
Rey
Krzysztof Soszynski
Mohawk
Wil Wheaton
Gordie Lachance
River Phoenix
Chris Chambers
Corey Feldman
Teddy Duchamp
Jerry O'Connell
Vern Tessio
Kiefer Sutherland
Ace Merrill
Casey Siemaszko
Billy Tessio
Gary Riley
Charlie Hogan
Bradley Gregg
Eyeball Chambers
Jason Oliver Lipsett
Vince Desjardins
Marshall Bell
Mr. Lachance
Frances Lee McCain
Mrs. Lachance
Bruce Kirby
